dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi_fmax0.25,5096,321,481,0.585604,OK
BSDS500,AGWi_fmax0.25,51084,321,481,0.600847,OK
BSDS500,AGWi_fmax0.25,6046,481,321,0.598065,OK
BSDS500,AGWi_fmax0.25,61034,481,321,0.591098,OK
BSDS500,AGWi_fmax0.25,64061,481,321,0.601378,OK
BSDS500,AGWi_fmax0.25,65084,481,321,0.602108,OK
BSDS500,AGWi_fmax0.25,69000,321,481,0.591948,OK
BSDS500,AGWi_fmax0.25,69007,321,481,0.603806,OK
BSDS500,AGWi_fmax0.25,69022,321,481,0.591971,OK
BSDS500,AGWi_fmax0.25,70011,321,481,0.586422,OK
BSDS500,AGWi_fmax0.25,70090,481,321,0.589033,OK
BSDS500,AGWi_fmax0.25,71076,481,321,0.589220,OK
BSDS500,AGWi_fmax0.25,71099,321,481,0.587694,OK
BSDS500,AGWi_fmax0.25,77062,321,481,0.594992,OK
BSDS500,AGWi_fmax0.25,78098,321,481,0.589743,OK
BSDS500,AGWi_fmax0.25,79073,321,481,0.591515,OK
BSDS500,AGWi_fmax0.25,80085,321,481,0.589586,OK
BSDS500,AGWi_fmax0.25,80090,481,321,0.605324,OK
BSDS500,AGWi_fmax0.25,8068,321,481,0.588245,OK
BSDS500,AGWi_fmax0.25,81066,321,481,0.591045,OK
BSDS500,AGWi_fmax0.25,81090,481,321,0.591145,OK
BSDS500,AGWi_fmax0.25,81095,321,481,0.591432,OK
BSDS500,AGWi_fmax0.25,87015,321,481,0.599322,OK
BSDS500,AGWi_fmax0.25,92014,321,481,0.595116,OK
BSDS500,AGWi_fmax0.25,94095,321,481,0.609160,OK
BSDS500,AGWi_fmax0.25,97010,321,481,0.593588,OK
