dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi,232076,321,481,0.650975,OK
BSDS500,AGWi,235098,321,481,0.658833,OK
BSDS500,AGWi,238025,481,321,0.609585,OK
BSDS500,AGWi,243095,481,321,0.626616,OK
BSDS500,AGWi,246009,481,321,0.636569,OK
BSDS500,AGWi,247003,321,481,0.644314,OK
BSDS500,AGWi,247012,321,481,0.631123,OK
BSDS500,AGWi,249021,481,321,0.612802,OK
BSDS500,AGWi,250047,481,321,0.630616,OK
BSDS500,AGWi,250087,481,321,0.602080,OK
BSDS500,AGWi,253016,321,481,0.619427,OK
BSDS500,AGWi,253092,481,321,0.621305,OK
BSDS500,AGWi,257098,481,321,0.617117,OK
BSDS500,AGWi,258089,321,481,0.625941,OK
BSDS500,AGWi,259060,481,321,0.615552,OK
BSDS500,AGWi,267036,481,321,0.616407,OK
BSDS500,AGWi,268048,321,481,0.664285,OK
BSDS500,AGWi,268074,481,321,0.710628,OK
BSDS500,AGWi,277053,321,481,0.660939,OK
BSDS500,AGWi,279005,481,321,0.627151,OK
BSDS500,AGWi,28083,321,481,0.629504,OK
BSDS500,AGWi,281017,481,321,0.641827,OK
BSDS500,AGWi,285022,321,481,0.623576,OK
BSDS500,AGWi,288024,321,481,0.681407,OK
BSDS500,AGWi,289011,481,321,0.653019,OK
BSDS500,AGWi,290035,321,481,0.680348,OK
BSDS500,AGWi,29030,321,481,0.659617,OK
BSDS500,AGWi,296028,321,481,0.646614,OK
BSDS500,AGWi,296058,321,481,0.652504,OK
BSDS500,AGWi,302022,481,321,0.623888,OK
BSDS500,AGWi,306051,481,321,0.615361,OK
BSDS500,AGWi,306052,321,481,0.649818,OK
BSDS500,AGWi,3063,321,481,0.635748,OK
BSDS500,AGWi,309040,321,481,0.640446,OK
BSDS500,AGWi,317043,321,481,0.675856,OK
BSDS500,AGWi,326025,321,481,0.611620,OK
BSDS500,AGWi,326085,481,321,0.626182,OK
BSDS500,AGWi,33044,481,321,0.631413,OK
BSDS500,AGWi,334025,481,321,0.618780,OK
BSDS500,AGWi,335088,321,481,0.626359,OK
BSDS500,AGWi,335094,321,481,0.636633,OK
BSDS500,AGWi,344010,321,481,0.625052,OK
BSDS500,AGWi,346016,321,481,0.620626,OK
BSDS500,AGWi,347031,481,321,0.623283,OK
BSDS500,AGWi,35028,321,481,0.632442,OK
BSDS500,AGWi,35049,321,481,0.629188,OK
BSDS500,AGWi,36046,321,481,0.625049,OK
BSDS500,AGWi,365072,481,321,0.641386,OK
BSDS500,AGWi,368037,321,481,0.623145,OK
BSDS500,AGWi,372019,481,321,0.607922,OK
BSDS500,AGWi,376086,321,481,0.618721,OK
BSDS500,AGWi,384022,321,481,0.633057,OK
BSDS500,AGWi,384089,481,321,0.615387,OK
BSDS500,AGWi,385022,321,481,0.622606,OK
BSDS500,AGWi,388006,481,321,0.632636,OK
BSDS500,AGWi,388018,481,321,0.627273,OK
BSDS500,AGWi,388067,481,321,0.650994,OK
BSDS500,AGWi,393035,321,481,0.637542,OK
BSDS500,AGWi,41006,321,481,0.623299,OK
BSDS500,AGWi,41029,321,481,0.616942,OK
BSDS500,AGWi,41085,321,481,0.625333,OK
BSDS500,AGWi,41096,321,481,0.617720,OK
BSDS500,AGWi,43033,321,481,0.633180,OK
BSDS500,AGWi,43051,321,481,0.628107,OK
BSDS500,AGWi,45000,321,481,0.628419,OK
BSDS500,AGWi,48017,321,481,0.631736,OK
BSDS500,AGWi,48025,321,481,0.624242,OK
BSDS500,AGWi,49024,321,481,0.614904,OK
BSDS500,AGWi,5096,321,481,0.613982,OK
BSDS500,AGWi,51084,321,481,0.620913,OK
BSDS500,AGWi,6046,481,321,0.620949,OK
BSDS500,AGWi,61034,481,321,0.619713,OK
BSDS500,AGWi,64061,481,321,0.622079,OK
BSDS500,AGWi,65084,481,321,0.623196,OK
BSDS500,AGWi,69000,321,481,0.622289,OK
BSDS500,AGWi,69007,321,481,0.639290,OK
BSDS500,AGWi,69022,321,481,0.621750,OK
BSDS500,AGWi,70011,321,481,0.624684,OK
BSDS500,AGWi,70090,481,321,0.619003,OK
BSDS500,AGWi,71076,481,321,0.611705,OK
BSDS500,AGWi,71099,321,481,0.627782,OK
BSDS500,AGWi,77062,321,481,0.621040,OK
BSDS500,AGWi,78098,321,481,0.618055,OK
BSDS500,AGWi,79073,321,481,0.649699,OK
BSDS500,AGWi,80085,321,481,0.619911,OK
BSDS500,AGWi,80090,481,321,0.628059,OK
BSDS500,AGWi,8068,321,481,0.630150,OK
BSDS500,AGWi,81066,321,481,0.623922,OK
BSDS500,AGWi,81090,481,321,0.657124,OK
BSDS500,AGWi,81095,321,481,0.614406,OK
BSDS500,AGWi,87015,321,481,0.632271,OK
BSDS500,AGWi,92014,321,481,0.633345,OK
BSDS500,AGWi,94095,321,481,0.640630,OK
BSDS500,AGWi,97010,321,481,0.642759,OK
BSDS500,GWi,100007,321,481,0.029361,OK
BSDS500,GWi,100039,321,481,0.026687,OK
BSDS500,GWi,100099,321,481,0.026389,OK
BSDS500,GWi,10081,321,481,0.024113,OK
BSDS500,GWi,101027,321,481,0.024516,OK
BSDS500,GWi,101084,481,321,0.024405,OK
BSDS500,GWi,102062,321,481,0.026225,OK
BSDS500,GWi,103006,321,481,0.026129,OK
BSDS500,GWi,103029,321,481,0.025480,OK
BSDS500,GWi,103078,321,481,0.027333,OK
BSDS500,GWi,104010,481,321,0.026548,OK
BSDS500,GWi,104055,481,321,0.025317,OK
BSDS500,GWi,105027,321,481,0.023768,OK
BSDS500,GWi,106005,321,481,0.024779,OK
BSDS500,GWi,106047,321,481,0.025899,OK
BSDS500,GWi,107014,321,481,0.023374,OK
BSDS500,GWi,107045,321,481,0.026963,OK
BSDS500,GWi,107072,321,481,0.025149,OK
BSDS500,GWi,108004,321,481,0.026214,OK
BSDS500,GWi,108036,321,481,0.024701,OK
BSDS500,GWi,108069,321,481,0.024123,OK
BSDS500,GWi,109055,321,481,0.024023,OK
BSDS500,GWi,112056,321,481,0.024631,OK
BSDS500,GWi,112090,321,481,0.024988,OK
BSDS500,GWi,117025,481,321,0.026346,OK
BSDS500,GWi,118015,321,481,0.026440,OK
BSDS500,GWi,118031,321,481,0.026457,OK
BSDS500,GWi,118072,321,481,0.026034,OK
BSDS500,GWi,120003,321,481,0.025400,OK
BSDS500,GWi,120093,321,481,0.029346,OK
BSDS500,GWi,123057,321,481,0.024399,OK
BSDS500,GWi,128035,321,481,0.023848,OK
BSDS500,GWi,130014,481,321,0.024685,OK
BSDS500,GWi,130066,321,481,0.024848,OK
BSDS500,GWi,134049,321,481,0.023906,OK
BSDS500,GWi,134067,481,321,0.024068,OK
BSDS500,GWi,140006,481,321,0.024448,OK
BSDS500,GWi,140088,481,321,0.023484,OK
BSDS500,GWi,14085,321,481,0.023450,OK
BSDS500,GWi,14092,321,481,0.023952,OK
BSDS500,GWi,141012,321,481,0.024377,OK
BSDS500,GWi,141048,321,481,0.025342,OK
BSDS500,GWi,145059,321,481,0.026800,OK
BSDS500,GWi,145079,321,481,0.028572,OK
BSDS500,GWi,146074,321,481,0.025206,OK
BSDS500,GWi,147077,481,321,0.024269,OK
BSDS500,GWi,147080,321,481,0.023298,OK
BSDS500,GWi,15011,321,481,0.023488,OK
BSDS500,GWi,15062,321,481,0.024158,OK
BSDS500,GWi,156054,481,321,0.023775,OK
BSDS500,GWi,157032,321,481,0.023569,OK
BSDS500,GWi,157087,321,481,0.025043,OK
BSDS500,GWi,159002,481,321,0.026930,OK
BSDS500,GWi,159022,321,481,0.023870,OK
BSDS500,GWi,160006,321,481,0.024475,OK
BSDS500,GWi,16004,321,481,0.025174,OK
BSDS500,GWi,160067,321,481,0.026855,OK
BSDS500,GWi,16068,321,481,0.026659,OK
