dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi_fmax0.35,100007,321,481,0.593735,OK
BSDS500,AGWi_fmax0.35,100039,321,481,0.601738,OK
BSDS500,AGWi_fmax0.35,100099,321,481,0.583639,OK
BSDS500,AGWi_fmax0.35,10081,321,481,0.592745,OK
BSDS500,AGWi_fmax0.35,101027,321,481,0.602593,OK
BSDS500,AGWi_fmax0.35,101084,481,321,0.586788,OK
BSDS500,AGWi_fmax0.35,102062,321,481,0.587944,OK
BSDS500,AGWi_fmax0.35,103006,321,481,0.590943,OK
BSDS500,AGWi_fmax0.35,103029,321,481,0.591778,OK
BSDS500,AGWi_fmax0.35,103078,321,481,0.598727,OK
BSDS500,AGWi_fmax0.35,104010,481,321,0.643038,OK
BSDS500,AGWi_fmax0.35,104055,481,321,0.604625,OK
BSDS500,AGWi_fmax0.35,105027,321,481,0.634817,OK
BSDS500,AGWi_fmax0.35,106005,321,481,0.636053,OK
BSDS500,AGWi_fmax0.35,106047,321,481,0.631268,OK
BSDS500,AGWi_fmax0.35,107014,321,481,0.630046,OK
BSDS500,AGWi_fmax0.35,107045,321,481,0.635561,OK
BSDS500,AGWi_fmax0.35,107072,321,481,0.621674,OK
BSDS500,AGWi_fmax0.35,108004,321,481,0.602654,OK
BSDS500,AGWi_fmax0.35,108036,321,481,0.598862,OK
BSDS500,AGWi_fmax0.35,108069,321,481,0.601072,OK
BSDS500,AGWi_fmax0.35,109055,321,481,0.610345,OK
BSDS500,AGWi_fmax0.35,112056,321,481,0.588062,OK
BSDS500,AGWi_fmax0.35,112090,321,481,0.586312,OK
BSDS500,AGWi_fmax0.35,117025,481,321,0.620485,OK
BSDS500,AGWi_fmax0.35,118015,321,481,0.621282,OK
BSDS500,AGWi_fmax0.35,118031,321,481,0.616501,OK
BSDS500,AGWi_fmax0.35,118072,321,481,0.600764,OK
BSDS500,AGWi_fmax0.35,120003,321,481,0.605333,OK
BSDS500,AGWi_fmax0.35,120093,321,481,0.630732,OK
BSDS500,AGWi_fmax0.35,123057,321,481,0.603455,OK
BSDS500,AGWi_fmax0.35,128035,321,481,0.592347,OK
BSDS500,AGWi_fmax0.35,130014,481,321,0.595102,OK
BSDS500,AGWi_fmax0.35,130066,321,481,0.600413,OK
BSDS500,AGWi_fmax0.35,134049,321,481,0.604350,OK
BSDS500,AGWi_fmax0.35,134067,481,321,0.599376,OK
BSDS500,AGWi_fmax0.35,140006,481,321,0.597813,OK
BSDS500,AGWi_fmax0.35,140088,481,321,0.618287,OK
BSDS500,AGWi_fmax0.35,14085,321,481,0.597338,OK
BSDS500,AGWi_fmax0.35,14092,321,481,0.594901,OK
BSDS500,AGWi_fmax0.35,141012,321,481,0.604383,OK
BSDS500,AGWi_fmax0.35,141048,321,481,0.595397,OK
BSDS500,AGWi_fmax0.35,145059,321,481,0.593416,OK
BSDS500,AGWi_fmax0.35,145079,321,481,0.605269,OK
BSDS500,AGWi_fmax0.35,146074,321,481,0.614433,OK
BSDS500,AGWi_fmax0.35,147077,481,321,0.607110,OK
BSDS500,AGWi_fmax0.35,147080,321,481,0.645871,OK
BSDS500,AGWi_fmax0.35,15011,321,481,0.604390,OK
BSDS500,AGWi_fmax0.35,15062,321,481,0.593312,OK
BSDS500,AGWi_fmax0.35,156054,481,321,0.595463,OK
BSDS500,AGWi_fmax0.35,157032,321,481,0.597556,OK
BSDS500,AGWi_fmax0.35,157087,321,481,0.602375,OK
BSDS500,AGWi_fmax0.35,159002,481,321,0.591970,OK
BSDS500,AGWi_fmax0.35,159022,321,481,0.588795,OK
BSDS500,AGWi_fmax0.35,160006,321,481,0.589761,OK
BSDS500,AGWi_fmax0.35,16004,321,481,0.660721,OK
BSDS500,AGWi_fmax0.35,160067,321,481,0.613178,OK
BSDS500,AGWi_fmax0.35,16068,321,481,0.617777,OK
BSDS500,AGWi_fmax0.35,161045,321,481,0.599337,OK
BSDS500,AGWi_fmax0.35,163004,481,321,0.586572,OK
BSDS500,AGWi_fmax0.35,163096,481,321,0.594687,OK
BSDS500,AGWi_fmax0.35,164046,481,321,0.598185,OK
BSDS500,AGWi_fmax0.35,168084,321,481,0.589617,OK
BSDS500,AGWi_fmax0.35,17067,481,321,0.590648,OK
BSDS500,AGWi_fmax0.35,175083,321,481,0.603792,OK
BSDS500,AGWi_fmax0.35,176051,321,481,0.600058,OK
BSDS500,AGWi_fmax0.35,179084,321,481,0.585984,OK
BSDS500,AGWi_fmax0.35,181021,481,321,0.600310,OK
BSDS500,AGWi_fmax0.35,183066,321,481,0.587646,OK
BSDS500,AGWi_fmax0.35,185092,321,481,0.634790,OK
BSDS500,AGWi_fmax0.35,187058,321,481,0.611528,OK
BSDS500,AGWi_fmax0.35,187099,321,481,0.610662,OK
BSDS500,AGWi_fmax0.35,188025,321,481,0.615244,OK
BSDS500,AGWi_fmax0.35,189006,481,321,0.615314,OK
BSDS500,AGWi_fmax0.35,189013,481,321,0.593215,OK
BSDS500,AGWi_fmax0.35,189029,481,321,0.633534,OK
BSDS500,AGWi_fmax0.35,189096,321,481,0.660330,OK
BSDS500,AGWi_fmax0.35,196027,481,321,0.666466,OK
BSDS500,AGWi_fmax0.35,196040,481,321,0.624179,OK
BSDS500,AGWi_fmax0.35,196062,321,481,0.586744,OK
BSDS500,AGWi_fmax0.35,196088,321,481,0.631286,OK
BSDS500,AGWi_fmax0.35,198087,481,321,0.600599,OK
BSDS500,AGWi_fmax0.35,20069,481,321,0.600421,OK
BSDS500,AGWi_fmax0.35,201080,321,481,0.595926,OK
BSDS500,AGWi_fmax0.35,2018,481,321,0.611237,OK
BSDS500,AGWi_fmax0.35,202000,321,481,0.594770,OK
BSDS500,AGWi_fmax0.35,206062,321,481,0.588479,OK
BSDS500,AGWi_fmax0.35,206097,321,481,0.601973,OK
BSDS500,AGWi_fmax0.35,207038,321,481,0.610126,OK
BSDS500,AGWi_fmax0.35,207049,321,481,0.593797,OK
BSDS500,AGWi_fmax0.35,208078,321,481,0.608981,OK
BSDS500,AGWi_fmax0.35,209021,321,481,0.590936,OK
BSDS500,AGWi_fmax0.35,217013,481,321,0.597609,OK
BSDS500,AGWi_fmax0.35,217090,321,481,0.591612,OK
BSDS500,AGWi_fmax0.35,220003,321,481,0.598622,OK
BSDS500,AGWi_fmax0.35,223004,481,321,0.588839,OK
BSDS500,AGWi_fmax0.35,223060,321,481,0.588694,OK
BSDS500,AGWi_fmax0.35,225022,481,321,0.588896,OK
BSDS500,AGWi_fmax0.35,226022,321,481,0.610242,OK
BSDS500,AGWi_fmax0.35,226033,321,481,0.598073,OK
BSDS500,AGWi_fmax0.35,226043,481,321,0.602322,OK
BSDS500,AGWi_fmax0.35,226060,481,321,0.590784,OK
BSDS500,AGWi_fmax0.35,228076,321,481,0.587761,OK
BSDS500,AGWi_fmax0.35,230063,481,321,0.606713,OK
BSDS500,AGWi_fmax0.35,230098,481,321,0.593698,OK
BSDS500,AGWi_fmax0.35,23050,481,321,0.609486,OK
BSDS500,AGWi_fmax0.35,232076,321,481,0.591822,OK
BSDS500,AGWi_fmax0.35,235098,321,481,0.603009,OK
BSDS500,AGWi_fmax0.35,238025,481,321,0.599095,OK
BSDS500,AGWi_fmax0.35,243095,481,321,0.590191,OK
BSDS500,AGWi_fmax0.35,246009,481,321,0.606921,OK
BSDS500,AGWi_fmax0.35,247003,321,481,0.596981,OK
BSDS500,AGWi_fmax0.35,247012,321,481,0.599155,OK
BSDS500,AGWi_fmax0.35,249021,481,321,0.599169,OK
BSDS500,AGWi_fmax0.35,250047,481,321,0.628892,OK
BSDS500,AGWi_fmax0.35,250087,481,321,0.587222,OK
BSDS500,AGWi_fmax0.35,253016,321,481,0.589457,OK
BSDS500,AGWi_fmax0.35,253092,481,321,0.592757,OK
BSDS500,AGWi_fmax0.35,257098,481,321,0.589084,OK
BSDS500,AGWi_fmax0.35,258089,321,481,0.617633,OK
BSDS500,AGWi_fmax0.35,259060,481,321,0.587011,OK
BSDS500,AGWi_fmax0.35,267036,481,321,0.594582,OK
BSDS500,AGWi_fmax0.35,268048,321,481,0.598649,OK
BSDS500,AGWi_fmax0.35,268074,481,321,0.607783,OK
BSDS500,AGWi_fmax0.35,277053,321,481,0.593181,OK
BSDS500,AGWi_fmax0.35,279005,481,321,0.636067,OK
BSDS500,AGWi_fmax0.35,28083,321,481,0.612584,OK
BSDS500,AGWi_fmax0.35,281017,481,321,0.589203,OK
BSDS500,AGWi_fmax0.35,285022,321,481,0.586330,OK
BSDS500,AGWi_fmax0.35,288024,321,481,0.595109,OK
BSDS500,AGWi_fmax0.35,289011,481,321,0.596035,OK
BSDS500,AGWi_fmax0.35,290035,321,481,0.593999,OK
BSDS500,AGWi_fmax0.35,29030,321,481,0.589885,OK
BSDS500,AGWi_fmax0.35,296028,321,481,0.586831,OK
BSDS500,AGWi_fmax0.35,296058,321,481,0.607279,OK
BSDS500,AGWi_fmax0.35,302022,481,321,0.588305,OK
BSDS500,AGWi_fmax0.35,306051,481,321,0.600992,OK
BSDS500,AGWi_fmax0.35,306052,321,481,0.603614,OK
BSDS500,AGWi_fmax0.35,3063,321,481,0.592037,OK
BSDS500,AGWi_fmax0.35,309040,321,481,0.607759,OK
BSDS500,AGWi_fmax0.35,317043,321,481,0.628678,OK
BSDS500,AGWi_fmax0.35,326025,321,481,0.599571,OK
BSDS500,AGWi_fmax0.35,326085,481,321,0.596305,OK
BSDS500,AGWi_fmax0.35,33044,481,321,0.597393,OK
BSDS500,AGWi_fmax0.35,334025,481,321,0.615069,OK
BSDS500,AGWi_fmax0.35,335088,321,481,0.609262,OK
BSDS500,AGWi_fmax0.35,335094,321,481,0.597396,OK
BSDS500,AGWi_fmax0.35,344010,321,481,0.597868,OK
BSDS500,AGWi_fmax0.35,346016,321,481,0.594251,OK
BSDS500,AGWi_fmax0.35,347031,481,321,0.603580,OK
BSDS500,AGWi_fmax0.35,35028,321,481,0.848235,OK
BSDS500,AGWi_fmax0.35,35049,321,481,0.630988,OK
BSDS500,AGWi_fmax0.35,36046,321,481,0.595696,OK
BSDS500,AGWi_fmax0.35,365072,481,321,0.603070,OK
BSDS500,AGWi_fmax0.35,368037,321,481,0.653711,OK
BSDS500,AGWi_fmax0.35,372019,481,321,0.592908,OK
BSDS500,AGWi_fmax0.35,376086,321,481,0.621376,OK
BSDS500,AGWi_fmax0.35,384022,321,481,0.642444,OK
