dataset,method,image_id,height,width,runtime_s,status
BSDS500,AGWi_fmax0.55,100007,321,481,0.600226,OK
BSDS500,AGWi_fmax0.55,100039,321,481,0.608899,OK
BSDS500,AGWi_fmax0.55,100099,321,481,0.606977,OK
BSDS500,AGWi_fmax0.55,10081,321,481,0.592084,OK
BSDS500,AGWi_fmax0.55,101027,321,481,0.595228,OK
BSDS500,AGWi_fmax0.55,101084,481,321,0.618980,OK
BSDS500,AGWi_fmax0.55,102062,321,481,0.604700,OK
BSDS500,AGWi_fmax0.55,103006,321,481,0.617595,OK
BSDS500,AGWi_fmax0.55,103029,321,481,0.632316,OK
BSDS500,AGWi_fmax0.55,103078,321,481,0.605367,OK
BSDS500,AGWi_fmax0.55,104010,481,321,0.741681,OK
BSDS500,AGWi_fmax0.55,104055,481,321,0.750699,OK
BSDS500,AGWi_fmax0.55,105027,321,481,0.642601,OK
BSDS500,AGWi_fmax0.55,106005,321,481,0.668344,OK
BSDS500,AGWi_fmax0.55,106047,321,481,0.621228,OK
BSDS500,AGWi_fmax0.55,107014,321,481,0.615040,OK
BSDS500,AGWi_fmax0.55,107045,321,481,0.645159,OK
BSDS500,AGWi_fmax0.55,107072,321,481,0.624968,OK
BSDS500,AGWi_fmax0.55,108004,321,481,0.688595,OK
BSDS500,AGWi_fmax0.55,108036,321,481,0.640544,OK
BSDS500,AGWi_fmax0.55,108069,321,481,0.610195,OK
BSDS500,AGWi_fmax0.55,109055,321,481,0.636885,OK
BSDS500,AGWi_fmax0.55,112056,321,481,0.609492,OK
BSDS500,AGWi_fmax0.55,112090,321,481,0.685350,OK
BSDS500,AGWi_fmax0.55,117025,481,321,0.710506,OK
BSDS500,AGWi_fmax0.55,118015,321,481,0.604578,OK
BSDS500,AGWi_fmax0.55,118031,321,481,0.612359,OK
BSDS500,AGWi_fmax0.55,118072,321,481,0.590580,OK
BSDS500,AGWi_fmax0.55,120003,321,481,0.626893,OK
BSDS500,AGWi_fmax0.55,120093,321,481,0.641089,OK
BSDS500,AGWi_fmax0.55,123057,321,481,0.611319,OK
BSDS500,AGWi_fmax0.55,128035,321,481,0.647061,OK
BSDS500,AGWi_fmax0.55,130014,481,321,0.594319,OK
BSDS500,AGWi_fmax0.55,130066,321,481,0.623869,OK
BSDS500,AGWi_fmax0.55,134049,321,481,0.633310,OK
BSDS500,AGWi_fmax0.55,134067,481,321,0.649863,OK
BSDS500,AGWi_fmax0.55,140006,481,321,0.605697,OK
BSDS500,AGWi_fmax0.55,140088,481,321,0.590213,OK
BSDS500,AGWi_fmax0.55,14085,321,481,0.620387,OK
BSDS500,AGWi_fmax0.55,14092,321,481,0.612445,OK
BSDS500,AGWi_fmax0.55,141012,321,481,0.649103,OK
BSDS500,AGWi_fmax0.55,141048,321,481,0.598904,OK
BSDS500,AGWi_fmax0.55,145059,321,481,0.616577,OK
BSDS500,AGWi_fmax0.55,145079,321,481,0.601053,OK
BSDS500,AGWi_fmax0.55,146074,321,481,0.605120,OK
BSDS500,AGWi_fmax0.55,147077,481,321,0.586845,OK
BSDS500,AGWi_fmax0.55,147080,321,481,0.599652,OK
BSDS500,AGWi_fmax0.55,15011,321,481,0.595670,OK
BSDS500,AGWi_fmax0.55,15062,321,481,0.594414,OK
BSDS500,AGWi_fmax0.55,156054,481,321,0.635621,OK
BSDS500,AGWi_fmax0.55,157032,321,481,0.600259,OK
BSDS500,AGWi_fmax0.55,157087,321,481,0.599347,OK
BSDS500,AGWi_fmax0.55,159002,481,321,0.590173,OK
BSDS500,AGWi_fmax0.55,159022,321,481,0.610264,OK
BSDS500,AGWi_fmax0.55,160006,321,481,0.596437,OK
BSDS500,AGWi_fmax0.55,16004,321,481,0.618003,OK
BSDS500,AGWi_fmax0.55,160067,321,481,0.635408,OK
BSDS500,AGWi_fmax0.55,16068,321,481,0.619528,OK
BSDS500,AGWi_fmax0.55,161045,321,481,0.615078,OK
BSDS500,AGWi_fmax0.55,163004,481,321,0.608726,OK
BSDS500,AGWi_fmax0.55,163096,481,321,0.607580,OK
BSDS500,AGWi_fmax0.55,164046,481,321,0.619190,OK
BSDS500,AGWi_fmax0.55,168084,321,481,0.626452,OK
BSDS500,AGWi_fmax0.55,17067,481,321,0.643387,OK
BSDS500,AGWi_fmax0.55,175083,321,481,0.646530,OK
BSDS500,AGWi_fmax0.55,176051,321,481,0.588829,OK
BSDS500,AGWi_fmax0.55,179084,321,481,0.589453,OK
BSDS500,AGWi_fmax0.55,181021,481,321,0.633170,OK
BSDS500,AGWi_fmax0.55,183066,321,481,0.636626,OK
BSDS500,AGWi_fmax0.55,185092,321,481,0.605869,OK
BSDS500,AGWi_fmax0.55,187058,321,481,0.616444,OK
BSDS500,AGWi_fmax0.55,187099,321,481,0.607801,OK
BSDS500,AGWi_fmax0.55,188025,321,481,0.607443,OK
BSDS500,AGWi_fmax0.55,189006,481,321,0.662829,OK
BSDS500,AGWi_fmax0.55,189013,481,321,0.610978,OK
BSDS500,AGWi_fmax0.55,189029,481,321,0.612098,OK
BSDS500,AGWi_fmax0.55,189096,321,481,0.608015,OK
BSDS500,AGWi_fmax0.55,196027,481,321,0.623041,OK
BSDS500,AGWi_fmax0.55,196040,481,321,0.600539,OK
BSDS500,AGWi_fmax0.55,196062,321,481,0.591297,OK
BSDS500,AGWi_fmax0.55,196088,321,481,0.611163,OK
BSDS500,AGWi_fmax0.55,198087,481,321,0.605472,OK
BSDS500,AGWi_fmax0.55,20069,481,321,0.587532,OK
BSDS500,AGWi_fmax0.55,201080,321,481,0.600582,OK
BSDS500,AGWi_fmax0.55,2018,481,321,0.593346,OK
BSDS500,AGWi_fmax0.55,202000,321,481,0.603503,OK
BSDS500,AGWi_fmax0.55,206062,321,481,0.595320,OK
BSDS500,AGWi_fmax0.55,206097,321,481,0.594635,OK
BSDS500,AGWi_fmax0.55,207038,321,481,0.597795,OK
BSDS500,AGWi_fmax0.55,207049,321,481,0.598753,OK
BSDS500,AGWi_fmax0.55,208078,321,481,0.628196,OK
BSDS500,AGWi_fmax0.55,209021,321,481,0.596898,OK
BSDS500,AGWi_fmax0.55,217013,481,321,0.600135,OK
BSDS500,AGWi_fmax0.55,217090,321,481,0.634752,OK
BSDS500,AGWi_fmax0.55,220003,321,481,0.643203,OK
BSDS500,AGWi_fmax0.55,223004,481,321,0.609908,OK
BSDS500,AGWi_fmax0.55,223060,321,481,0.613377,OK
BSDS500,AGWi_fmax0.55,225022,481,321,0.601893,OK
BSDS500,AGWi_fmax0.55,226022,321,481,0.613795,OK
BSDS500,AGWi_fmax0.55,226033,321,481,0.638886,OK
BSDS500,AGWi_fmax0.55,226043,481,321,0.620652,OK
BSDS500,AGWi_fmax0.55,226060,481,321,0.603475,OK
BSDS500,AGWi_fmax0.55,228076,321,481,0.620268,OK
BSDS500,AGWi_fmax0.55,230063,481,321,0.613376,OK
BSDS500,AGWi_fmax0.55,230098,481,321,0.636887,OK
BSDS500,AGWi_fmax0.55,23050,481,321,0.635565,OK
BSDS500,AGWi_fmax0.55,232076,321,481,0.615068,OK
BSDS500,AGWi_fmax0.55,235098,321,481,0.640198,OK
BSDS500,AGWi_fmax0.55,238025,481,321,0.652407,OK
BSDS500,AGWi_fmax0.55,243095,481,321,0.608234,OK
BSDS500,AGWi_fmax0.55,246009,481,321,0.611386,OK
BSDS500,AGWi_fmax0.55,247003,321,481,0.602974,OK
BSDS500,AGWi_fmax0.55,247012,321,481,0.608878,OK
BSDS500,AGWi_fmax0.55,249021,481,321,0.619483,OK
BSDS500,AGWi_fmax0.55,250047,481,321,0.618936,OK
BSDS500,AGWi_fmax0.55,250087,481,321,0.600636,OK
BSDS500,AGWi_fmax0.55,253016,321,481,0.597976,OK
BSDS500,AGWi_fmax0.55,253092,481,321,0.614533,OK
BSDS500,AGWi_fmax0.55,257098,481,321,0.598777,OK
BSDS500,AGWi_fmax0.55,258089,321,481,0.648866,OK
BSDS500,AGWi_fmax0.55,259060,481,321,0.600574,OK
BSDS500,AGWi_fmax0.55,267036,481,321,0.594505,OK
BSDS500,AGWi_fmax0.55,268048,321,481,0.591748,OK
BSDS500,AGWi_fmax0.55,268074,481,321,0.609680,OK
BSDS500,AGWi_fmax0.55,277053,321,481,0.590479,OK
BSDS500,AGWi_fmax0.55,279005,481,321,0.594252,OK
BSDS500,AGWi_fmax0.55,28083,321,481,0.599145,OK
BSDS500,AGWi_fmax0.55,281017,481,321,0.590842,OK
BSDS500,AGWi_fmax0.55,285022,321,481,0.589487,OK
BSDS500,AGWi_fmax0.55,288024,321,481,0.606906,OK
BSDS500,AGWi_fmax0.55,289011,481,321,0.616782,OK
BSDS500,AGWi_fmax0.55,290035,321,481,0.600819,OK
BSDS500,AGWi_fmax0.55,29030,321,481,0.596850,OK
BSDS500,AGWi_fmax0.55,296028,321,481,0.637791,OK
BSDS500,AGWi_fmax0.55,296058,321,481,0.624471,OK
BSDS500,AGWi_fmax0.55,302022,481,321,0.594750,OK
BSDS500,AGWi_fmax0.55,306051,481,321,0.592647,OK
BSDS500,AGWi_fmax0.55,306052,321,481,0.588872,OK
BSDS500,AGWi_fmax0.55,3063,321,481,0.592402,OK
BSDS500,AGWi_fmax0.55,309040,321,481,0.596593,OK
BSDS500,AGWi_fmax0.55,317043,321,481,0.625650,OK
BSDS500,AGWi_fmax0.55,326025,321,481,0.592308,OK
BSDS500,AGWi_fmax0.55,326085,481,321,0.589983,OK
BSDS500,AGWi_fmax0.55,33044,481,321,0.601856,OK
BSDS500,AGWi_fmax0.55,334025,481,321,0.591858,OK
BSDS500,AGWi_fmax0.55,335088,321,481,0.612809,OK
BSDS500,AGWi_fmax0.55,335094,321,481,0.599104,OK
BSDS500,AGWi_fmax0.55,344010,321,481,0.592709,OK
BSDS500,AGWi_fmax0.55,346016,321,481,0.615719,OK
BSDS500,AGWi_fmax0.55,347031,481,321,0.599877,OK
BSDS500,AGWi_fmax0.55,35028,321,481,0.627592,OK
BSDS500,AGWi_fmax0.55,35049,321,481,0.605002,OK
BSDS500,AGWi_fmax0.55,36046,321,481,0.605808,OK
BSDS500,AGWi_fmax0.55,365072,481,321,0.633110,OK
BSDS500,AGWi_fmax0.55,368037,321,481,0.625386,OK
BSDS500,AGWi_fmax0.55,372019,481,321,0.592400,OK
BSDS500,AGWi_fmax0.55,376086,321,481,0.615467,OK
BSDS500,AGWi_fmax0.55,384022,321,481,0.603106,OK
BSDS500,AGWi_fmax0.55,384089,481,321,0.612275,OK
BSDS500,AGWi_fmax0.55,385022,321,481,0.598377,OK
BSDS500,AGWi_fmax0.55,388006,481,321,0.603745,OK
BSDS500,AGWi_fmax0.55,388018,481,321,0.617608,OK
BSDS500,AGWi_fmax0.55,388067,481,321,0.630050,OK
BSDS500,AGWi_fmax0.55,393035,321,481,0.591722,OK
BSDS500,AGWi_fmax0.55,41006,321,481,0.593750,OK
BSDS500,AGWi_fmax0.55,41029,321,481,0.586701,OK
BSDS500,AGWi_fmax0.55,41085,321,481,0.603872,OK
BSDS500,AGWi_fmax0.55,41096,321,481,0.591986,OK
BSDS500,AGWi_fmax0.55,43033,321,481,0.601706,OK
BSDS500,AGWi_fmax0.55,43051,321,481,0.603769,OK
BSDS500,AGWi_fmax0.55,45000,321,481,0.593248,OK
BSDS500,AGWi_fmax0.55,48017,321,481,0.604793,OK
BSDS500,AGWi_fmax0.55,48025,321,481,0.591856,OK
BSDS500,AGWi_fmax0.55,49024,321,481,0.593989,OK
BSDS500,AGWi_fmax0.55,5096,321,481,0.602903,OK
BSDS500,AGWi_fmax0.55,51084,321,481,0.600401,OK
BSDS500,AGWi_fmax0.55,6046,481,321,0.602086,OK
BSDS500,AGWi_fmax0.55,61034,481,321,0.602902,OK
BSDS500,AGWi_fmax0.55,64061,481,321,0.586838,OK
BSDS500,AGWi_fmax0.55,65084,481,321,0.596842,OK
BSDS500,AGWi_fmax0.55,69000,321,481,0.616808,OK
BSDS500,AGWi_fmax0.55,69007,321,481,0.619809,OK
BSDS500,AGWi_fmax0.55,69022,321,481,0.609134,OK
BSDS500,AGWi_fmax0.55,70011,321,481,0.587585,OK
BSDS500,AGWi_fmax0.55,70090,481,321,0.599635,OK
BSDS500,AGWi_fmax0.55,71076,481,321,0.592656,OK
BSDS500,AGWi_fmax0.55,71099,321,481,0.594173,OK
BSDS500,AGWi_fmax0.55,77062,321,481,0.615049,OK
BSDS500,AGWi_fmax0.55,78098,321,481,0.614114,OK
BSDS500,AGWi_fmax0.55,79073,321,481,0.646086,OK
BSDS500,AGWi_fmax0.55,80085,321,481,0.601809,OK
BSDS500,AGWi_fmax0.55,80090,481,321,0.635515,OK
BSDS500,AGWi_fmax0.55,8068,321,481,0.684841,OK
BSDS500,AGWi_fmax0.55,81066,321,481,0.606296,OK
BSDS500,AGWi_fmax0.55,81090,481,321,0.605700,OK
BSDS500,AGWi_fmax0.55,81095,321,481,0.612467,OK
BSDS500,AGWi_fmax0.55,87015,321,481,0.628225,OK
BSDS500,AGWi_fmax0.55,92014,321,481,0.635444,OK
BSDS500,AGWi_fmax0.55,94095,321,481,0.599999,OK
BSDS500,AGWi_fmax0.55,97010,321,481,0.606067,OK
